123456 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0
987654 64.7 98.3 57.5 38.4 84.5 34.9 28.4 98.8 87.5 66.6
100100 99.9 45.8 67.7 54.8 97.6 88.8 64.8 79.6 35.5 77.7
232323 94.6 65.4 55.5 88.6 67.5 77.5 49.5 50.0 34.6 89.1
192837 100.0 97.8 95.0 98.0 98.4 96.6 92.0 93.8 97.7 94.4
456456 70.0 75.5 68.8 62.0 80.5 82.9 77.8 69.0 57.5 92.0
963852 52.0 56.4 60.0 54.5 68.5 72.2 44.5 58.4 60.5 62.2
741852 86.4 88.8 82.0 93.5 96.0 84.5 85.0 89.0 91.6 94.4
159357 100.0 100.0 98.5 99.0 97.0 98.5 100.0 100.0 100.0 98.0
791346 55.6 64.6 34.5 68.5 99.4 55.1 61.4 76.5 86.4 84.2
